key,destination_key,day_number,title,start_location,end_location,overnight_location,estimated_walking_hours,notes
di_janaki_1,dest_janaki_mandir,1,Janaki Mandir Tour,Hotel / Home,Janaki Mandir,,2,"Visit the magnificent white palace-like temple dedicated to Goddess Sita. Explore the three-story structure with its 60 rooms, colorful glasswork, and intricate carvings. Learn about the Ramayana connection."
di_janaki_2,dest_janaki_mandir,1,Janakpur City Exploration,Janaki Mandir,City Center,,2,"Explore the city's ponds (dighis), the Ram Mandir, and the local bazaar known for Mithila paintings and handicrafts."
di_chitwan_1,dest_chitwan,1,Chitwan Safari Day 1,Hotel / Home,Sauraha,,-1,Arrive in Sauraha. Afternoon canoe ride along the Rapti River for bird watching and crocodile spotting. Evening Tharu cultural dance performance.
di_chitwan_2,dest_chitwan,2,Chitwan Safari Day 2,Sauraha,Chitwan National Park,,-1,"Early morning jungle safari (jeep or elephant-back) to spot one-horned rhinoceros, deer, wild boar, and if lucky, the Bengal tiger. Afternoon nature walk with a trained guide."
di_phewa_1,dest_phewa_lake,1,Pokhara City Tour,Hotel / Home,Phewa Lake,,1,Morning boat ride on Phewa Lake to visit the Tal Barahi Temple on the island. Enjoy the reflection of Machhapuchhre peak on the lake's surface.
di_phewa_2,dest_phewa_lake,1,Pokhara Sightseeing,Phewa Lake,Pokhara City,,3,"Visit Devi's Fall, Gupteshwor Cave, the International Mountain Museum, and World Peace Pagoda. Evening at Lakeside restaurants with mountain views."
di_phewa_3,dest_phewa_lake,2,Sarangkot Sunrise,Hotel,Sarangkot Viewpoint,,2,Early morning drive or hike to Sarangkot for stunning sunrise views over the Annapurna and Dhaulagiri ranges. Paragliding option available.
di_nagarkot_1,dest_nagarkot,1,Nagarkot Sunrise & Hike,Hotel / Home,Nagarkot Viewpoint,,1.5,"Pre-dawn hike to the viewpoint for spectacular sunrise over the Himalayas. On clear days, views span from Annapurna to Everest. Morning hike through pine forests and local villages."
di_bandipur_1,dest_bandipur,1,Bandipur Exploration,Hotel / Home,Bandipur Main Street,,3,"Walk the historic main street lined with traditional Newari houses and inns. Visit the Bindabasini Temple, Tundikhel viewpoint, and Siddha Gufa (largest cave in Nepal). Enjoy panoramic mountain views."
di_manakamana_1,dest_manakamana,1,Manakamana Temple Visit,Hotel / Home,Manakamana Temple,,2,"Scenic cable car ride over the Trishuli River valley. Visit the sacred temple of Goddess Bhagwati, seek blessings for wish fulfillment. Enjoy views of the surrounding hills and river valley."
di_chandragiri_1,dest_chandragiri,1,Chandragiri Hills Trip,Hotel / Home,Chandragiri Hills,,3,"Take Nepal's longest cable car to the top of Chandragiri Hills at 2,551m. Visit the Shiva temple, enjoy panoramic Himalayan views, have lunch at the hilltop restaurant. Perfect for a half-day Kathmandu getaway."
di_gosaikunda_1,dest_gosaikunda,1,Trek to Gosaikunda,Kathmandu,Dhunche/Betrawati,,1,Drive from Kathmandu to Dhunche or Betrawati (5-6 hours). Brief trek to the first overnight stop.
di_gosaikunda_2,dest_gosaikunda,2,Gosaikunda Lake Trek,Betrawati,Gosaikunda Lake,,1,"Continue the trek through beautiful rhododendron and pine forests to reach the sacred Gosaikunda Lake at 4,380m. Visit the lakeside shrines and enjoy the dramatic mountain scenery."
di_abc_1,dest_abc_trek,1,"Drive to Nayapul, Trek to Tikhedhunga",Kathmandu / Pokhara,Tikhedhunga,Tikhedhunga,4,"Drive from Pokhara to Nayapul (1.5 hrs), then begin trekking along the Modi Khola river. Gradual ascent through terraced fields and small settlements to reach Tikhedhunga."
di_abc_2,dest_abc_trek,2,Tikhedhunga to Ghorepani,Tikhedhunga,Ghorepani,Ghorepani,6,Steep climb up the famous stone staircase at Ulleri (3380 steps). The trail passes through beautiful rhododendron and oak forests. Reward is panoramic mountain views from Ghorepani.
di_abc_3,dest_abc_trek,3,Poon Hill Sunrise to Tadapani,Ghorepani,Tadapani,Tadapani,6,"Pre-dawn hike to Poon Hill (3,210m) for spectacular sunrise over Annapurna and Dhaulagiri ranges. After breakfast, trek through scenic ridge-top trails to Tadapani."
di_abc_4,dest_abc_trek,4,Tadapani to Chhomrong,Tadapani,Chhomrong,Chhomrong,3,A shorter day through beautiful forests with occasional mountain views. Chhomrong is a beautiful Gurung village with stone-paved streets and stunning views of Annapurna South.
di_abc_5,dest_abc_trek,5,Chhomrong to Himalaya Hotel,Chhomrong,Himalaya Hotel,Himalaya Hotel,5,"Descend to Chhomrong Khola, then ascend through bamboo forests. Pass through Sinuwa, Bamboo, and Dovan. The valley narrows and the landscape becomes increasingly alpine."
di_abc_6,dest_abc_trek,6,Himalaya Hotel to Annapurna Base Camp,Himalaya Hotel,Annapurna Base Camp,Annapurna Base Camp,5,"Trek through Deurali to Machhapuchhre Base Camp with its stunning views, then continue to ABC at 4,130m. Surrounded by a natural amphitheater of Himalayan peaks."
di_abc_7,dest_abc_trek,7,"ABC Sunrise, Trek to Chhomrong",Annapurna Base Camp,Chhomrong,Chhomrong,6,Witness sunrise over Annapurna massif from ABC. Begin the return trek descending through Bamboo and Sinuwa back to Chhomrong.
di_abc_8,dest_abc_trek,8,"Chhomrong to Nayapul, Drive to Pokhara",Chhomrong,Pokhara,,5,"Trek down to Jhinu Danda for a relaxing dip in natural hot springs, then continue through Landruk to Nayapul. Drive back to Pokhara."
di_poon_1,dest_poon_hill_trek,1,Nayapul to Tikhedhunga,Pokhara,Tikhedhunga,Tikhedhunga,4,Drive from Pokhara to Nayapul. Trek through terraced fields and small settlements along the Modi Khola river to reach Tikhedhunga.
di_poon_2,dest_poon_hill_trek,2,Tikhedhunga to Ghorepani,Tikhedhunga,Ghorepani,Ghorepani,6,A challenging day climbing the stone staircase at Ulleri. Continue through rhododendron forests to the hilltop settlement of Ghorepani with its stunning mountain panorama.
di_poon_3,dest_poon_hill_trek,3,Poon Hill Sunrise to Tadapani,Ghorepani,Tadapani,Tadapani,6,"Early morning hike to Poon Hill for Nepal's best sunrise views over 8 Himalayan peaks above 8,000m. Return to Ghorepani for breakfast, then trek to Tadapani through rhododendron forests."
di_poon_4,dest_poon_hill_trek,4,Tadapani to Landruk,Tadapani,Landruk,Landruk,4,A scenic descent through forests and traditional Gurung villages to Landruk on the Modi Khola riverbank. Experience village life and local hospitality.
di_poon_5,dest_poon_hill_trek,5,"Landruk to Nayapul, Drive to Pokhara",Landruk,Pokhara,,3,Final trekking leg along the riverbank back to Nayapul. Drive to Pokhara for a well-deserved rest and celebration dinner.
di_ebc_1,dest_ebc_trek,1,"Fly to Lukla, Trek to Phakding",Kathmandu,Phakding,Phakding,3,"Early morning scenic flight to Lukla (2,860m). Trek through pine forests and across suspension bridges along the Dudh Koshi River to reach Phakding."
di_ebc_2,dest_ebc_trek,2,Phakding to Namche Bazaar,Phakding,Namche Bazaar,Namche Bazaar,5,Cross several high suspension bridges including the famous Hillary Bridge. A steep final climb rewards you with the first views of Everest. Explore the bustling Sherpa capital of Namche.
di_ebc_3,dest_ebc_trek,3,Namche Acclimatization Day,Namche Bazaar,Namche Bazaar,Namche Bazaar,3,"Hike to Everest View Hotel (3,880m) for stunning views of Everest, Lhotse, and Ama Dablam. Visit the Sherpa Museum and local monasteries. Climb high, sleep low."
di_ebc_4,dest_ebc_trek,4,Namche to Tyangboche,Namche Bazaar,Tyangboche,Tyangboche,4,"Trek along the ridge with incredible mountain views. Visit the famous Tengboche Monastery, the largest in Khumbu, and enjoy sunset views of Ama Dablam and Everest."
di_ebc_5,dest_ebc_trek,5,Tyangboche to Dingboche,Tyangboche,Dingboche,Dingboche,4,"Descend through rhododendron forests to the Imja Khola valley. Climb to Dingboche with its stunning mountain backdrop. Views of Lhotse, Island Peak, and Ama Dablam."
di_ebc_6,dest_ebc_trek,6,Dingboche Acclimatization Day,Dingboche,Dingboche,Dingboche,3,"Hike to Nagarjun Hill (5,100m) for panoramic views. Rest and hydrate. Preparation for higher altitude in the coming days."
di_ebc_7,dest_ebc_trek,7,Dingboche to Lobuche,Dingboche,Lobuche,Lobuche,4,"Trek across alpine terrain with views of glaciers and moraines. Visit the memorial chortens for fallen climbers. The landscape becomes stark and otherworldly at 4,930m."
di_ebc_8,dest_ebc_trek,8,Lobuche to Everest Base Camp,Lobuche,Everest Base Camp,Gorakshep,6,"Trek across the Khumbu Glacier moraine to Gorakshep. Drop bags and continue to Everest Base Camp (5,364m). Stand at the foot of the world's highest mountain."
di_ebc_9,dest_ebc_trek,9,"Kala Patthar Sunrise, Trek to Lobuche",Gorakshep,Lobuche,Lobuche,4,"Pre-dawn hike to Kala Patthar (5,555m) for the best sunrise views of Everest. Return to Gorakshep for breakfast, then descend to Lobuche."
di_ebc_10,dest_ebc_trek,10,Lobuche to Tyangboche,Lobuche,Tyangboche,Tyangboche,5,Descend through Dingboche and back to Tyangboche. The lower altitude allows for easier walking and better sleep.
di_ebc_11,dest_ebc_trek,11,Tyangboche to Namche Bazaar,Tyangboche,Namche Bazaar,Namche Bazaar,4,Continue the descent through beautiful forests back to Namche. Enjoy the comforts of bakeries and shops in the Sherpa capital.
di_ebc_12,dest_ebc_trek,12,Namche to Phakding,Namche Bazaar,Phakding,Phakding,3,Easy descent through pine forests and across suspension bridges. Relax in Phakding with its river views.
di_ebc_13,dest_ebc_trek,13,Phakding to Lukla,Phakding,Lukla,Lukla,3,Final trekking day back to Lukla. Celebrate the achievement with fellow trekkers. Last chance for souvenir shopping.
di_ebc_14,dest_ebc_trek,14,Fly to Kathmandu,Lukla,Kathmandu,,1,"Early morning flight back to Kathmandu. Rest, recover, and celebrate the completion of an epic Himalayan adventure."
di_langtang_1,dest_langtang_trek,1,Drive to Syabrubesi,Kathmandu,Syabrubesi,Syabrubesi,-1,"Scenic drive from Kathmandu through the Trishuli River valley to Syabrubesi (1,503m). Settle into teahouse and prepare for tomorrow's trek."
di_langtang_2,dest_langtang_trek,2,Syabrubesi to Lama Hotel,Syabrubesi,Lama Hotel,Lama Hotel,4,Trek along the Langtang River through lush bamboo and rhododendron forests. Keep an eye out for langur monkeys and various bird species. Gradual ascent through the day.
di_langtang_3,dest_langtang_trek,3,Lama Hotel to Langtang Village,Lama Hotel,Langtang Village,Langtang Village,5,Continue through forests that gradually thin out as altitude increases. The valley opens up revealing stunning views of Langtang Lirung. Visit the rebuilt Langtang Village.
di_langtang_4,dest_langtang_trek,4,Langtang Village to Kyanjin Gompa,Langtang Village,Kyanjin Gompa,Kyanjin Gompa,3,A shorter trekking day through dramatic alpine scenery. Visit the famous Kyanjin Gompa monastery and the local cheese factory. Panoramic views of Langtang Lirung and surrounding peaks.
di_langtang_5,dest_langtang_trek,5,Kyanjin Ri Hike & Exploration,Kyanjin Gompa,Kyanjin Gompa,Kyanjin Gompa,4,"Early morning hike to Kyanjin Ri (4,773m) for breathtaking sunrise views of the Langtang range and into Tibet. Afternoon exploring the glaciers and moraines around Kyanjin Gompa."
di_langtang_6,dest_langtang_trek,6,Kyanjin Gompa to Langtang Village,Kyanjin Gompa,Langtang Village,Langtang Village,2.5,Easy descent back through beautiful alpine meadows to Langtang Village. Relax and enjoy the mountain views. Interact with local Tamang families.
di_langtang_7,dest_langtang_trek,7,Langtang Village to Syabrubesi,Langtang Village,Syabrubesi,Syabrubesi,5,Full day of descent through the Langtang Valley. The forest becomes denser as you lose altitude. Final night in the mountains at Syabrubesi.
di_langtang_8,dest_langtang_trek,8,Drive to Kathmandu,Syabrubesi,Kathmandu,,-1,Scenic drive back to Kathmandu with views of the Trishuli River valley. Arrive by afternoon with memories of a beautiful Himalayan valley.
di_mardi_himal_trek_1,dest_mardi_himal_trek,1,Phedi to Forest Camp,Phedi,Forest Camp,Forest Camp,5,Steady climb through pristine rhododendron and oak forest above Phedi.
di_mardi_himal_trek_2,dest_mardi_himal_trek,2,Forest Camp to High Camp,Forest Camp,High Camp,High Camp,4,Alpine meadows open to huge views of Mardi Himal and Machhapuchhre.
di_mardi_himal_trek_3,dest_mardi_himal_trek,3,High Camp to Mardi Himal Base Camp,High Camp,Mardi Himal Base Camp,Mardi Himal Base Camp,3,"Ridge walk to the 4,500m viewpoint and back; avoid after storms."
di_mardi_himal_trek_4,dest_mardi_himal_trek,4,High Camp to Phedi,High Camp,Phedi,Pokhara,6,"Long descent through forest to the roadhead, then drive to Pokhara."
di_manaslu_trek_1,dest_manaslu_trek,1,Aarughat to Jagat,Aarughat,Jagat,Jagat,8,Follow the Budhi Gandaki through deep gorges and subtropical forest.
di_manaslu_trek_2,dest_manaslu_trek,2,Jagat to Deng,Jagat,Deng,Deng,6,Climbing through terraced fields and Tamang villages.
di_manaslu_trek_3,dest_manaslu_trek,3,Deng to Namrung,Deng,Namrung,Namrung,6,Tall forest and gorges; first views of Manaslu begin to appear.
di_manaslu_trek_4,dest_manaslu_trek,4,Namrung to Samagaon,Namrung,Samagaon,Samagaon,6,Tibetan-style villages; afternoon acclimatization walk.
di_manaslu_trek_5,dest_manaslu_trek,5,Samagaon rest day,Samagaon,Samagaon,Samagaon,3,Visit Manaslu Base Camp and the Pungen Gompa.
di_manaslu_trek_6,dest_manaslu_trek,6,Samagaon to Larkya Dharamsala,Samagaon,Larkya Dharamsala,Larkya Dharamsala,7,Climb the moraine to the high camp below Larkya La.
di_gokyo_trek_1,dest_gokyo_trek,1,Lukla to Namche Bazaar,Lukla,Namche Bazaar,Namche Bazaar,7,"Suspension bridges, Dudh Koshi valley and the steep climb into Namche."
di_gokyo_trek_2,dest_gokyo_trek,2,Namche acclimatization,Namche Bazaar,Namche Bazaar,Namche Bazaar,3,Hike to Everest View Hotel or Khumjung for acclimatization.
di_gokyo_trek_3,dest_gokyo_trek,3,Namche to Dole,Namche Bazaar,Dole,Dole,6,Quieter trail up the Bhote Koshi valley with big mountain views.
di_gokyo_trek_4,dest_gokyo_trek,4,Dole to Machermo,Dole,Machermo,Machermo,4,Short climb to the Gokyo gateway village; rest before the lakes.
di_gokyo_trek_5,dest_gokyo_trek,5,Machermo to Gokyo,Machermo,Gokyo,Gokyo,5,"Pass the first turquoise lakes to Gokyo village at 4,790m."
di_annapurna_circuit_1,dest_annapurna_circuit,1,Besisahar to Bahundanda,Besisahar,Bahundanda,Bahundanda,6,"Marsyangdi river, waterfalls and rice terraces; hot springs option at Tal."
di_annapurna_circuit_2,dest_annapurna_circuit,2,Bahundanda to Chame,Bahundanda,Chame,Chame,8,Valley narrows into dramatic gorges; Chame has natural hot springs.
di_annapurna_circuit_3,dest_annapurna_circuit,3,Chame to Pisang,Chame,Pisang,Pisang,5,Views of Annapurna II and lamjung; catch sunset colours on the peaks.
di_annapurna_circuit_4,dest_annapurna_circuit,4,Pisang to Manang,Pisang,Manang,Manang,6,Desert-like upper valley opens with stunning Himalayan views.
di_annapurna_circuit_5,dest_annapurna_circuit,5,Manang acclimatization,Manang,Manang,Manang,3,Climb to Gangapurna glacier lake for acclimatization.
di_annapurna_circuit_6,dest_annapurna_circuit,6,Manang to Thorong Phedi,Manang,Thorong Phedi,Thorong Phedi,6,Short valley to the windy camping settlement below the pass.
di_annapurna_circuit_7,dest_annapurna_circuit,7,Thorong La and Muktinath,Thorong Phedi,Muktinath,Muktinath,9,"Start before dawn, cross Thorong La (5,416m), descend to the temple."
di_annapurna_circuit_8,dest_annapurna_circuit,8,Muktinath to Jomsom,Muktinath,Jomsom,Jomsom,6,Windy descent through the Kali Gandaki; fly or drive to Pokhara.
di_shivapuri_hike_1,dest_shivapuri_hike,1,Shivapuri Day Hike from Budhanilkantha,Budhanilkantha,Shivapuri Peak,,6,"Drive to Budhanilkantha at the northern edge of Kathmandu, trek through the Shivapuri Nagarjun National Park forest to Nagi Gompa and continue to the 2,563 m summit. Spectacular Kathmandu Valley views from the ridge. Return via the same trail or descend to Sundarijal."
