key,name,category,description,best_time,permit_required,rating,highlights,address_key
dest_bandipur,Bandipur Hill Town,city,"A beautifully preserved hill town with classic Newari architecture, rich culture, and stunning mountain views. The main street is lined with traditional Newari houses converted into inns and cafes. Offers hiking, paragliding, and spectacular views of the Annapurna, Dhaulagiri, and Manaslu ranges.","[""spring"",""autumn""]",False,4,"[""Car-free historic Newari main street"",""Panoramic Annapurna, Dhaulagiri and Manaslu views"",""Mountain biking, hiking and paragliding"",""Traditional inns and cafes""]",addr_bandipur
dest_manakamana,Manakamana Temple,religious_site,"A sacred Hindu temple dedicated to Goddess Bhagwati, believed to grant the wishes of her devotees. Accessible via a scenic cable car ride offering stunning views of the Trishuli River valley and surrounding hills. The temple is a major pilgrimage site drawing devotees from Nepal and India.","[""spring"",""autumn"",""winter""]",False,4,"[""Darshan at the wish-granting Goddess"",""Scenic cable car over the Trishuli valley"",""Views of Machhapuchhre and Himalchuli on clear days"",""Major Hindu pilgrimage site""]",addr_manakamana
dest_chandragiri,Chandragiri Hills,viewpoint,"A scenic hilltop destination offering panoramic views of the Kathmandu Valley and the Himalayan range. Accessible via Nepal's longest cable car ride. The site features a temple dedicated to Lord Shiva, a giant statue, restaurants, and stunning viewpoints. Popular for sunset views and day trips from Kathmandu.","[""autumn"",""spring"",""winter""]",False,4,"[""Nepal's longest cable car ride"",""Panoramic views of the Kathmandu Valley"",""Bhaleshwar Mahadev Shiva temple"",""Easy day trip from Kathmandu""]",addr_chandragiri
dest_gosaikunda,Gosaikunda Lake,lake,"A sacred alpine lake situated at an altitude of 4,380m in the Langtang National Park. Considered holy by both Hindus and Buddhists, it is believed to be created by Lord Shiva. Surrounded by dramatic mountain scenery, the lake is a popular pilgrimage destination during the Janai Purnima festival.","[""summer"",""autumn""]",False,5,"[""Sacred alpine lake at 4,380 m"",""Janai Purnima pilgrimage"",""Linked to a series of glacial lakes"",""Dense forests and alpine meadows en route""]",addr_gosaikunda
dest_abc_trek,Annapurna Base Camp Trek,trek,"One of Nepal's most popular trekking routes, taking you through lush rhododendron forests, traditional Gurung villages, and up to the heart of the Annapurna Sanctuary at 4,130m. The trek offers close-up views of Annapurna I, Machhapuchhre, Hiunchuli, and other towering peaks. Known for its diverse landscapes and rich cultural experiences.","[""march"",""april"",""october"",""november""]",True,5,"[""Walk into the Annapurna Sanctuary amphitheatre"",""Poon Hill sunrise on the classic route"",""Hot springs at Jhinu Danda"",""Teahouse trekking throughout""]",addr_pokhara
dest_poon_hill_trek,Ghorepani Poon Hill Trek,trek,"A relatively short but rewarding trek that offers arguably the best sunrise views in Nepal from Poon Hill at 3,210m. The trail winds through beautiful rhododendron forests, past traditional villages, and offers panoramic views of the entire Annapurna and Dhaulagiri ranges. Perfect for trekkers with limited time.","[""march"",""april"",""october"",""november""]",True,5,"[""Iconic Poon Hill sunrise panorama"",""Perfect for first-time trekkers"",""Rhododendron forests and Gurung villages"",""Easy access from Pokhara""]",addr_pokhara
dest_ebc_trek,Everest Base Camp Trek,trek,"The ultimate trekking experience in Nepal, taking you to the foot of the world's highest mountain. The trail passes through the stunning Khumbu Valley, crossing high suspension bridges, passing through Sherpa villages, and offering breathtaking views of Everest, Lhotse, Nuptse, and Ama Dablam. Includes an acclimatization hike to Kala Patthar.","[""march"",""april"",""may"",""october"",""november""]",True,5,"[""Stand at the foot of the world's highest mountain"",""Kala Patthar sunrise over Everest"",""Sherpa culture in Namche Bazaar"",""Tengboche Monastery - largest in Khumbu""]",addr_lukla
dest_langtang_trek,Langtang Valley Trek,trek,"A beautiful valley trek close to Kathmandu that offers diverse landscapes from subtropical forests to alpine meadows. Known as the Valley of Glaciers, the trail follows the Langtang River through traditional Tamang and Sherpa villages. Offers stunning views of Langtang Lirung, Kyanjin Ri, and the surrounding peaks.","[""march"",""april"",""may"",""october"",""november""]",True,4,"[""Valley of Glaciers close to Kathmandu"",""Tamang and Sherpa village culture"",""Climb Kyanjin Ri for a high-altitude sunrise"",""Views of Langtang Lirung (7,227 m)""]",addr_syabrubesi
dest_rara,Rara Lake,lake,"Rara Lake, the largest lake in Nepal, sits in the pristine Rara National Park at 2,990m in the far-west Karnali region. Crystal-clear turquoise water is ringed by pine forests and snow-capped peaks. A quiet retreat offering nature walks, boating, and some of Nepal's best birdwatching, away from the crowds.","[""summer"", ""autumn""]",False,5,"[""Largest and deepest lake in Nepal"",""Vivid turquoise water in every season"",""Crisp views of the lake from Rara Hill"",""Wildlife spotting including the musk deer""]",addr_rara
dest_muktinath,Muktinath Temple,religious_site,"Muktinath Temple, sacred to both Hindus and Buddhists, stands at 3,710m in the Mustang region. Hindu pilgrims come to bathe in the 108 water spouts, while the ancient temple also houses a Jwala Mai with an eternal flame fuelled by natural gas. Stunning views of the Thorong La pass and the Kali Gandaki valley surround the site.","[""spring"", ""autumn""]",False,5,"[""108 sacred water spouts"",""Eternal flame of Jwala Mai"",""Saligram stones and 108 monasteries"",""One of the holiest pilgrimage sites in Nepal""]",addr_muktinath
dest_sarangkot,Sarangkot Viewpoint,viewpoint,"The classic viewpoint above Pokhara, offering one of the finest sunrise panoramas in Nepal. From Sarangkot at 1,600m you look straight out to the entire Annapurna range, Machhapuchhre, and Dhaulagiri mirrored in Phewa Lake below. Also a famous launching point for para-gliders.","[""spring"", ""autumn""]",False,4,"[""Classic Pokhara sunrise panorama"",""World-class paragliding launch point"",""Reflections of the Annapurnas on Phewa Lake"",""Short drive or hike from Pokhara""]",addr_sarangkot
dest_dhulikhel,Dhulikhel Viewpoint,viewpoint,"A serene Newari hill town on the rim of the Kathmandu Valley. Dhulikhel is famous for its panoramic Himalayan views, traditional architecture, and walking trails through pine forests. The viewpoint offers a clear line of sight to more than 20 peaks, including Gaurishankar and Langtang.","[""spring"", ""autumn"", ""winter""]",False,4,"[""Himalayan panorama from over 20 peaks"",""Quiet Newari hill town"",""Ridge walks and pine forest trails"",""Gateway to the Arniko Highway and Tibet border""]",addr_dhulikhel
dest_budhanilkantha,Budhanilkantha Temple,religious_site,"Also known as the Sleeping Vishnu, this open-air temple features a grand five-metre reclining statue of Lord Vishnu floating on the cosmic serpent Shesha in a pond. It is one of the holiest Vaishnav shrines in Nepal and lies at the base of Shivapuri hill, north of Kathmandu.","[""spring"", ""autumn""]",False,5,"[""Five-metre reclining Vishnu statue"",""Floating on the cosmic serpent Shesha"",""At the base of Shivapuri hill"",""One of the holiest Vaishnav shrines in Nepal""]",addr_budhanilkantha
dest_garden_of_dreams,Garden of Dreams,other,"A beautifully restored neo-classical garden in the heart of Kathmandu's Thamel. Built in the 1920s, the Garden of Dreams features six pavilions, ornamental ponds, and hundreds of plant species - a tranquil escape from the hectic streets just outside its walls.","[""spring"", ""autumn"", ""winter""]",False,4,"[""Neo-classical garden oasis in Thamel"",""Six pavilions and ornamental ponds"",""Peaceful spot for reading or picnics"",""Often hosts cultural events""]",addr_garden_of_dreams
dest_mountain_museum,International Mountain Museum,attraction,"The International Mountain Museum in Pokhara celebrates the world's great mountain ranges, with galleries covering Himalayan geology, mountaineering history, the lives of Sherpa and other mountain peoples, and an Everest room showcasing climbing artefacts and records.","[""spring"", ""autumn"", ""winter""]",False,4,"[""Galleries on Himalayan geology and peoples"",""Everest Room with climbing artefacts"",""Indoor and outdoor exhibits"",""Educational and family-friendly""]",addr_mountain_museum
dest_peace_pagoda,World Peace Pagoda,cultural_site,"The Shanti Stupa, or World Peace Pagoda, crowns a forested hill above the eastern shore of Phewa Lake. Reached by a pleasant uphill walk, it offers unobstructed views over Pokhara and the entire Annapurna range, making it a superb sunset viewpoint.","[""spring"", ""autumn"", ""winter""]",False,4,"[""Panoramic views over Pokhara and Phewa Lake"",""Sunset views of the Annapurna range"",""Pleasant forest walk to the summit"",""One of over 80 peace pagodas worldwide""]",addr_peace_pagoda
dest_mardi_himal_trek,Mardi Himal Trek,trek,"Mardi Himal is the hidden gem of the Annapurnas - a wild, uncrowded trail that climbs through pristine forest and alpine meadows to a dramatic ridgeline just 4,500m from Machhapuchhre. Expect close-up views of Mardi Himal, Hiunchuli, and the whole Annapurna panorama.","[""march"", ""april"", ""may"", ""october"", ""november""]",True,5,"[""Terraces and ridge-top views of Annapurna and Machhapuchhre"",""Photos at the 4,500 m viewpoint"",""High Camp sunsets above the clouds"",""Uncrowded, peaceful trails""]",addr_phedi
dest_manaslu_trek,Manaslu Circuit Trek,trek,"The Manaslu Circuit circumnavigates the world's eighth-highest mountain through the remote Budhi Gandaki valley. Traditional Tibetan-style villages, pine and rhododendron forests, dramatic gorges, and the high Larkya La pass (5,160m) make this one of Nepal's most rewarding wilderness treks.","[""spring"", ""autumn""]",True,5,"[""Circumnavigate the world's eighth-highest peak"",""Remote Tibetan-style villages and monasteries"",""Cross the high Larkya La pass"",""One of Nepal's most pristine wilderness treks""]",addr_aarughat
dest_gokyo_trek,Gokyo Lakes Trek,trek,"The Gokyo Lakes trek heads into the Khumbu to a string of brilliant turquoise glacial lakes overlooked by dramatic snow peaks. The climb up Gokyo Ri (5,360m) rewards you with arguably the finest view in the Himalaya - a sweeping panorama from Cho Oyu to Everest.","[""march"", ""april"", ""may"", ""october"", ""november""]",True,5,"[""Turquoise glacial lakes of the Gokyo valley"",""Gokyo Ri panorama - the best view in the Himalaya"",""Views of Cho Oyu and Everest"",""Cross the Ngozumpa glacier""]",addr_lukla
dest_annapurna_circuit,Annapurna Circuit Trek,trek,"The classic Annapurna Circuit crosses the mighty Thorong La (5,416m) - the world's highest trekking pass - and descends through the rain-shadow desert of Mustang. From subtropical lowlands to windswept plateaus and apple orchards, it is Nepal's most diverse long trek.","[""spring"", ""autumn""]",True,5,"[""Cross Thorong La - the world's highest trekking pass"",""Enter the rain-shadow desert of Mustang"",""Foothills of the Marsyangdi and Kali Gandaki valleys"",""Walk beside Annapurna II and timeless Gurung villages""]",addr_besisahar
dest_thamel,Thamel,city,"The vibrant tourist heart of Kathmandu, Thamel is a lively maze of narrow streets packed with cafes, rooftop bars, trekking gear shops, craft stores and music venues. It is the perfect base for exploring the capital and the classic starting point for every Himalayan adventure.","[""spring"",""autumn""]",False,4,"[""Kathmandu's buzzing tourist hub"",""Rooftop cafes and live music"",""Trekking gear and souvenir shopping"",""Gateway to Himalayan adventures""]",addr_thamel
dest_kathmandu_durbar,Kathmandu Durbar Square,historical_site,"Kathmandu Durbar Square (Hanuman Dhoka) is the historic seat of the Malla and Shah kings and a UNESCO World Heritage Site. The square is framed by towering temples, the old Royal Palace with its courtyards, and the fearsome Kumari House - home of the living goddess.","[""spring"",""autumn"",""winter""]",False,5,"[""UNESCO World Heritage Site"",""Kumari house - the living goddess"",""The towering nine-tier Kak Bhairab temple"",""Historic Royal Palace and courtyards""]",addr_kathmandu_durbar
dest_shivapuri_hike,Shivapuri Day Hike,hike,"An easy-to-moderate day hike through the forests of Shivapuri Nagarjun National Park, starting from Budhanilkantha on the northern edge of Kathmandu. The trail climbs past the Nagi Gompa monastery and a spectacular viewpoint to the 2,563m Shivapuri summit, Nepal's 'water tower' that feeds the capital.","[""march"", ""april"", ""october"", ""november""]",False,4,"[""Day hike from Kathmandu to a 2,563 m summit"",""Oak and rhododendron forests of Shivapuri National Park"",""Visit Nagi Gompa monastery"",""Kathmandu Valley views from the ridge""]",addr_shivapuri
dest_island_peak,Island Peak,mountain,"Island Peak (Imja Tse, 6,189 m) rises like a snow-covered island above the sea of ice that surrounds it in the Everest region. A firm favourite for first-time Himalayan climbers, the ascent involves glacier walking, a headwall scramble and a final snow ridge to a camp on the spectacular summit ridge.","[""march"", ""april"", ""october"", ""november""]",True,5,"[""Classic first Himalayan summit at 6,189 m"",""Panorama of Everest, Lhotse and Makalu"",""Glacier ascent with a dramatic headwall"",""Guided expeditions from Chhukung""]",addr_chhukung
dest_phoksundo,Phoksundo Lake,nature,"Phoksundo Lake in the remote Dolpa region is Nepal's deepest lake and one of the world's highest. Its startlingly clear, turquoise-blue water is surrounded by sheer cliffs, forests and the dramatic Phoksundo waterfall. The lake sits within Shey Phoksundo National Park - Nepal's largest - and has been featured twice in National Geographic.","[""september"", ""october"", ""november""]",True,5,"[""Nepal's deepest lake at 3,612 m"",""Vivid turquoise water below the Tso Karpo cliffs"",""Trek past Phoksundo Waterfall - one of Nepal's tallest"",""Franco-Dolpo culture and ancient Bon-po monasteries""]",addr_phoksundo
dest_devis_fall,Devi's Fall,waterfall,"Devi's Fall, also known as Patale Chhango, is a dramatic waterfall where the Pardi Khola river thunders into a deep underground gorge on Pokhara's southern edge. Best seen during and just after the monsoon, it is one of Pokhara's favourite natural sights and sits next to the Gupteshwor Cave.","[""june"", ""july"", ""august""]",False,4,"[""Dramatic plunge into an underground gorge"",""Most powerful during the monsoon"",""Next to the Gupteshwor Cave"",""Great photo spot in Pokhara""]",addr_devis_fall
dest_trishuli_rafting,Trishuli River Rafting,adventure,"Raft the Trishuli river, one of Nepal's most popular white-water rivers, on a scenic drive between Kathmandu and Pokhara. With a mix of exhilarating Class 2-3 rapids and calm stretches past forests and villages on the Trisuli Bazaar, Ghale Ghar and Tiger Temple routes, it suits first-timers and families.","[""september"", ""october"", ""november"", ""march"", ""april""]",False,4,"[""Class 2-3 rapids ideal for beginners"",""Scenic route between Kathmandu and Pokhara"",""Canyons, forests and riverside villages"",""Full day trips with river-side lunch""]",addr_trishuli
