key,province,district,place,latitude,longitude,altitude
addr_kagbeni,Gandaki,Mustang,Kagbeni,28.8333,83.7833,2800
addr_phedi,Gandaki,Kaski,Phedi,28.3500,83.8833,1770
addr_low_camp,Gandaki,Kaski,Forest Camp,28.3833,83.9333,3200
addr_high_camp,Gandaki,Kaski,High Camp,28.4167,83.9333,3580
addr_mardi_base,Gandaki,Kaski,Mardi Himal Base Camp,28.4500,83.9167,4500
addr_aarughat,Gandaki,Gorkha,Aarughat,28.1000,84.7667,600
addr_jagat,Gandaki,Gorkha,Jagat,28.2500,84.7500,1300
addr_deng,Gandaki,Gorkha,Deng,28.3667,84.7667,2060
addr_namrung,Gandaki,Gorkha,Namrung,28.4167,84.8000,2630
addr_samagaon,Gandaki,Gorkha,Samagaon,28.6000,84.6333,3530
addr_larkya,Gandaki,Gorkha,Larkya Dharamsala,28.6500,84.5667,4900
addr_dole,Province No. 1,Solukhumbu,Dole,27.8833,86.7500,4110
addr_machermo,Province No. 1,Solukhumbu,Machermo,27.8667,86.7333,4470
addr_thangnak,Province No. 1,Solukhumbu,Thangnak,27.9500,86.7000,4700
addr_gokyo,Province No. 1,Solukhumbu,Gokyo,27.9500,86.7000,4790
